Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,BedtimeRoutine,SleepQuality,TotalSteps,SedentaryMinutes,ModeratelyActiveMinutes
1503960366,4/12/2016,1,327,346,19,1.058103976,13162,728,38
1503960366,4/13/2016,2,384,407,23,1.059895833,10735,776,19
1503960366,4/15/2016,1,412,442,30,1.072815534,9762,726,34
1503960366,4/16/2016,2,340,367,27,1.079411765,12669,773,10
1503960366,4/17/2016,1,700,712,12,1.017142857,9705,539,20
1503960366,4/19/2016,1,304,320,16,1.052631579,15506,775,31
1503960366,4/20/2016,1,360,377,17,1.047222222,10544,818,12
1503960366,4/21/2016,1,325,364,39,1.12,9819,838,8
1503960366,4/23/2016,1,361,384,23,1.063711911,14371,732,21
1503960366,4/24/2016,1,430,449,19,1.044186047,10039,709,5
1503960366,4/25/2016,1,277,323,46,1.166064982,15355,814,14
1503960366,4/26/2016,1,245,274,29,1.118367347,13755,833,23
1503960366,4/28/2016,1,366,393,27,1.073770492,13154,782,28
1503960366,4/29/2016,1,341,354,13,1.038123167,11181,815,12
1503960366,4/30/2016,1,404,425,21,1.051980198,14673,712,34
1503960366,5/1/2016,1,369,396,27,1.073170732,10602,730,35
1503960366,5/2/2016,1,277,309,32,1.115523466,14727,798,15
1503960366,5/3/2016,1,273,296,23,1.084249084,15103,816,24
1503960366,5/5/2016,1,247,264,17,1.068825911,14070,857,24
1503960366,5/6/2016,1,334,367,33,1.098802395,12159,754,6
1503960366,5/7/2016,1,331,349,18,1.054380665,11992,833,46
1503960366,5/8/2016,1,594,611,17,1.028619529,10060,574,8
1503960366,5/9/2016,1,338,342,4,1.01183432,12022,835,11
1503960366,5/10/2016,1,383,403,20,1.052219321,12207,746,31
1503960366,5/11/2016,1,285,306,21,1.073684211,12770,669,23
1644430081,4/29/2016,1,119,127,8,1.067226891,3176,1193,0
1644430081,4/30/2016,1,124,142,18,1.14516129,18213,816,71
1644430081,5/2/2016,1,796,961,165,1.207286432,3758,682,7
1644430081,5/8/2016,1,137,154,17,1.124087591,6724,991,0
1844505072,4/15/2016,1,644,961,317,1.492236025,3844,527,0
1844505072,4/30/2016,1,722,961,239,1.331024931,4014,218,0
1844505072,5/1/2016,1,590,961,371,1.628813559,2573,585,7
1927972279,4/12/2016,3,750,775,25,1.033333333,678,734,0
1927972279,4/13/2016,1,398,422,24,1.060301508,356,986,0
1927972279,4/15/2016,2,475,499,24,1.050526316,980,941,0
1927972279,4/26/2016,1,296,315,19,1.064189189,3761,1058,0
1927972279,4/28/2016,1,166,178,12,1.072289157,1675,1167,0
2026352035,4/12/2016,1,503,546,43,1.085487078,4414,706,8
2026352035,4/13/2016,1,531,565,34,1.064030132,4993,663,0
2026352035,4/14/2016,1,545,568,23,1.042201835,3335,653,0
2026352035,4/15/2016,1,523,573,50,1.095602294,3821,687,0
2026352035,4/16/2016,1,524,567,43,1.082061069,2547,728,0
2026352035,4/17/2016,1,437,498,61,1.139588101,838,1053,0
2026352035,4/19/2016,1,498,540,42,1.084337349,2424,785,0
2026352035,4/20/2016,1,461,510,49,1.106290672,7222,623,0
2026352035,4/21/2016,1,477,514,37,1.077568134,2467,749,0
2026352035,4/22/2016,1,520,545,25,1.048076923,2915,712,0
2026352035,4/23/2016,1,522,554,32,1.061302682,12357,458,0
2026352035,4/24/2016,1,555,591,36,1.064864865,3490,704,0
2026352035,4/25/2016,1,506,531,25,1.049407115,6017,821,0
2026352035,4/27/2016,1,508,545,37,1.072834646,6088,586,0
2026352035,4/28/2016,1,513,545,32,1.062378168,6375,626,0
2026352035,4/29/2016,1,490,510,20,1.040816327,7604,492,0
2026352035,4/30/2016,1,573,607,34,1.059336824,4729,594,0
2026352035,5/1/2016,1,527,546,19,1.036053131,3609,716,0
2026352035,5/2/2016,1,511,543,32,1.062622309,7018,716,0
2026352035,5/4/2016,1,538,560,22,1.040892193,6564,530,0
2026352035,5/5/2016,1,468,485,17,1.036324786,12167,479,0
2026352035,5/6/2016,1,524,548,24,1.045801527,8198,511,0
2026352035,5/7/2016,1,511,521,10,1.019569472,4193,665,0
2026352035,5/8/2016,1,541,568,27,1.049907579,5528,610,0
2026352035,5/9/2016,1,531,556,25,1.047080979,10685,543,0
2026352035,5/10/2016,1,357,380,23,1.06442577,254,1002,0
2026352035,5/11/2016,1,523,553,30,1.057361377,8580,569,0
2026352035,5/12/2016,1,456,485,29,1.063596491,8891,330,0
2320127002,4/23/2016,1,61,69,8,1.131147541,5079,1129,0
2347167796,4/13/2016,1,467,531,64,1.137044968,10352,676,32
2347167796,4/14/2016,1,445,489,44,1.098876404,10129,705,48
2347167796,4/15/2016,1,452,504,52,1.115044248,10465,720,24
2347167796,4/17/2016,1,556,602,46,1.082733813,5472,508,7
2347167796,4/18/2016,1,500,557,57,1.114,8247,678,16
2347167796,4/19/2016,1,465,514,49,1.105376344,6711,648,7
2347167796,4/21/2016,1,460,484,24,1.052173913,10080,761,26
2347167796,4/22/2016,1,405,461,56,1.138271605,7804,781,27
2347167796,4/23/2016,1,374,386,12,1.032085561,16901,591,35
2347167796,4/24/2016,1,442,459,17,1.038461538,9471,584,0
2347167796,4/25/2016,1,433,471,38,1.087759815,9482,653,11
2347167796,4/26/2016,1,436,490,54,1.123853211,5980,732,0
2347167796,4/27/2016,1,448,499,51,1.113839286,11423,623,9
2347167796,4/28/2016,1,408,450,42,1.102941176,5439,764,0
2347167796,4/29/2016,1,411,473,62,1.150851582,42,2,0
3977333714,4/12/2016,1,274,469,195,1.711678832,8856,777,19
3977333714,4/13/2016,2,295,456,161,1.545762712,10035,754,46
3977333714,4/14/2016,1,291,397,106,1.364261168,7641,801,23
3977333714,4/15/2016,1,424,556,132,1.311320755,9010,644,42
3977333714,4/16/2016,1,283,510,227,1.802120141,13459,663,83
3977333714,4/17/2016,1,381,566,185,1.485564304,10415,600,58
3977333714,4/18/2016,2,412,522,110,1.266990291,11663,605,95
